#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーパンツ,0,0,1,1,1,1,0,1,25,0,0,0,0,0,採取,3,,,,,,,,,首鳴竜の皮,2,,,,,,
チェーンパンツ,0,0,1,0,1,1,0,2,26,0,0,1,0,0,体力,5,,,,,,,,,鉄鉱石,2,暖かい毛皮,2,,,,
ベルダーグリーヴ,0,0,1,0,1,1,0,2,26,0,1,0,0,0,加護,3,,,,,,,,,暖かい毛皮,1,鉄鉱石,2,,,,
ハントグリーヴ,0,1,1,2,1,1,0,2,50,1,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,2,ランポスの皮,1,,,,
ハントレギンス,0,2,1,2,1,1,0,1,25,2,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,2,ランポスの皮,1,,,,
マフモフブーツ,0,0,1,0,1,1,0,2,26,-1,0,0,2,0,耐寒,4,,,,,,,,,暖かい毛皮,2,ガウシカの角,2,,,,
ユクモノハカマ,0,0,1,2,1,1,0,2,26,0,0,1,0,0,回避性能,2,,,,,,,,,ユクモの木,2,セッチャクロアリ,2,,,,
ロックラックブーツ,0,0,1,0,1,1,0,2,26,1,0,0,0,2,運搬,4,耐暑,1,,,,,,,甲虫の大顎,3,モンスターの体液,2,大地の結晶,2,,
ハンターグリーヴ,0,1,1,2,1,1,0,6,54,0,0,0,0,0,狩人,1,,,,,,,,,ファンゴの毛皮,1,ジャギィの皮,2,竜骨【小】,2,,
ハンターレギンス,0,2,1,2,1,1,0,3,27,0,0,0,0,0,狩人,1,,,,,,,,,ファンゴの毛皮,1,ジャギィの皮,2,竜骨【小】,2,,
ボーングリーヴ,0,1,1,0,1,1,0,6,54,0,0,0,-1,0,笛,6,,,,,,,,,竜骨【中】,2,なぞの骨,2,ランポスの皮,1,,
ボーンレギンス,0,2,1,0,1,1,0,3,27,0,0,0,-1,0,笛,6,,,,,,,,,竜骨【中】,2,なぞの骨,2,ランポスの皮,1,,
狩人の革臑当,0,1,1,0,1,1,0,6,54,0,1,0,0,0,野草知識,5,,,,,,,,,ガウシカの角,1,暖かい毛皮,4,鉄鉱石,1,,
狩人の革長靴,0,2,1,0,1,1,0,3,27,0,1,0,0,0,野草知識,5,,,,,,,,,ガウシカの角,1,暖かい毛皮,4,鉄鉱石,1,,
